104000150,14,39,24,8,29
104000149,27,26,14,20,10
104000148,12,30,14,6,29
104000147,13,32,23,3,33
104000146,12,24,11,26,23
104000145,1,23,14,31,30
104000144,8,13,16,30,14
104000143,38,30,39,21,1
104000142,37,39,35,4,27
104000141,4,18,3,14,10
104000140,16,30,28,31,10
104000139,27,17,1,20,26
104000138,32,34,5,30,29
104000137,26,38,39,35,21
104000136,28,5,32,31,23
104000135,26,2,39,6,22
104000134,29,24,5,37,17
104000133,18,10,19,7,20
104000132,18,32,13,22,29
104000131,2,23,32,37,5
104000130,20,39,2,10,28
104000129,37,19,17,24,4
104000128,10,35,8,36,27
104000127,9,16,18,26,34
104000126,11,4,6,37,36
104000125,37,21,22,35,9
104000124,11,28,23,30,12
104000123,23,24,33,3,27
104000122,16,18,27,30,17
104000121,22,24,5,2,26
104000120,5,12,7,6,27
104000119,1,23,2,16,14
104000118,4,26,16,25,35
104000117,4,27,34,3,31
104000116,28,6,16,23,32
104000115,16,17,36,31,37
104000114,23,9,20,7,33
104000113,26,38,39,20,27
104000112,17,24,12,9,18
104000111,3,24,26,38,10
104000110,33,35,16,1,14
104000109,23,13,21,17,31
104000108,3,17,15,23,27
104000107,33,30,12,17,28
104000106,28,6,25,11,21
104000105,37,35,23,21,18
104000104,18,5,13,11,4
104000103,1,15,28,5,6
104000102,38,1,29,24,7
104000101,2,13,39,16,12
104000100,17,32,12,22,13
104000099,29,38,37,31,27
104000098,33,29,2,19,17
104000097,5,22,31,35,9
104000096,16,12,21,35,34
104000095,7,39,1,13,5
104000094,5,7,1,14,17
104000093,21,30,18,7,32
104000092,12,39,4,24,36
104000091,14,24,12,7,6
104000090,38,6,17,33,32
104000089,13,36,9,34,2
104000088,34,12,1,3,10
104000087,17,8,33,37,25
104000086,30,9,18,14,3
104000085,20,37,22,15,30
104000084,13,5,22,11,37
104000083,30,26,23,25,12
104000082,27,18,12,21,10
104000081,18,35,2,9,12
104000080,38,12,11,33,13
104000079,1,28,18,24,35
104000078,5,36,7,2,1
104000077,12,20,33,30,23
104000076,12,26,34,3,22
104000075,21,6,33,11,18
104000074,29,12,27,9,5
104000073,25,23,11,16,5
104000072,5,36,19,32,7
104000071,26,35,19,1,3
104000070,13,7,3,30,16
104000069,8,1,28,5,10
104000068,17,10,6,22,27
104000067,34,13,31,35,36
104000066,6,26,21,32,27
104000065,16,34,3,37,38
104000064,3,15,35,18,19
104000063,6,39,15,38,11
104000062,33,29,30,31,32
104000061,3,31,21,18,13
104000060,37,15,29,10,33
104000059,36,37,17,26,34
104000058,38,20,12,16,28
104000057,33,16,3,17,31
104000056,26,10,2,1,11
104000055,26,38,20,9,31
104000054,35,29,20,3,11
104000053,23,33,32,36,35
104000052,27,23,15,19,10
104000051,9,8,23,28,11
104000050,1,12,30,33,16
104000049,29,36,18,8,39
104000048,38,25,11,5,26
104000047,27,14,23,12,11
104000046,38,23,24,25,4
104000045,18,2,15,31,26
104000044,19,15,10,9,24
104000043,12,21,26,30,3
104000042,7,30,17,25,12
104000041,29,4,1,22,17
104000040,20,31,27,14,2
104000039,33,5,8,4,20
104000038,33,1,4,23,16
104000037,20,7,32,2,25
104000036,23,5,6,29,15
104000035,22,17,7,15,25
104000034,28,26,39,25,12
104000033,31,6,16,4,21
104000032,31,30,25,2,14
104000031,36,23,7,10,20
104000030,1,13,28,35,36
104000029,22,23,17,9,29
104000028,23,17,13,39,29
104000027,16,37,6,4,35
104000026,28,5,29,36,13
104000025,10,9,6,2,26
104000024,17,1,27,30,5
104000023,9,28,17,16,21
104000022,21,9,1,10,2
104000021,7,5,13,12,15
104000020,6,8,7,16,10
104000019,24,1,11,32,15
104000018,18,2,35,32,16
104000017,14,28,2,32,17
104000016,29,10,12,38,37
104000015,32,4,23,39,13
104000014,28,9,33,5,16
104000013,11,9,17,34,12
104000012,35,19,5,30,12
104000011,12,13,33,26,39
104000010,24,34,7,15,37
104000009,37,26,12,4,31
104000008,17,11,1,8,9
104000007,29,26,15,21,12
104000006,12,14,13,37,36
104000005,36,16,20,26,19
104000004,16,9,24,10,28
104000003,32,28,14,31,9
104000002,28,30,9,7,18
104000001,32,26,21,10,11
